player,nation,pos,age,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,prgc,prgp,prgr,team,season,img_url
Ederson,BRA,GK,28,35,35,3150,35,0,1,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,28,35,35,3150,35,0,1,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,28,35,35,3150,35,0,1,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,28,35,35,3150,35,0,1,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,28,35,35,3150,35,0,1,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,28,35,35,3150,35,0,1,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,27,37,37,3330,37,0,0,0,0,0,0,3,0,0,0,0,0.0,3.0,0.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,27,37,37,3330,37,0,0,0,0,0,0,3,0,0,0,0,0.0,3.0,0.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,27,37,37,3330,37,0,0,0,0,0,0,3,0,0,0,0,0.0,3.0,0.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,27,37,37,3330,37,0,0,0,0,0,0,3,0,0,0,0,0.0,3.0,0.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,27,37,37,3330,37,0,0,0,0,0,0,3,0,0,0,0,0.0,3.0,0.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,27,37,37,3330,37,0,0,0,0,0,0,3,0,0,0,0,0.0,3.0,0.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,26,36,36,3240,36,0,1,1,0,0,0,3,0,0,0,0,0.0,1.0,0.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,26,36,36,3240,36,0,1,1,0,0,0,3,0,0,0,0,0.0,1.0,0.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,26,36,36,3240,36,0,1,1,0,0,0,3,0,0,0,0,0.0,1.0,0.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,26,36,36,3240,36,0,1,1,0,0,0,3,0,0,0,0,0.0,1.0,0.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,26,36,36,3240,36,0,1,1,0,0,0,3,0,0,0,0,0.0,1.0,0.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,26,36,36,3240,36,0,1,1,0,0,0,3,0,0,0,0,0.0,1.0,0.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,25,35,35,3071,34,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,Manchester City,2019,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,25,35,35,3071,34,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,Manchester City,2019,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,25,35,35,3071,34,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,Manchester City,2019,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,25,35,35,3071,34,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,Manchester City,2019,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,25,35,35,3071,34,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,Manchester City,2019,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,25,35,35,3071,34,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,Manchester City,2019,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,24,38,38,3420,38,0,1,1,0,0,0,2,0,0,0,0,0.0,3.0,0.0,Manchester City,2018,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,24,38,38,3420,38,0,1,1,0,0,0,2,0,0,0,0,0.0,3.0,0.0,Manchester City,2018,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,24,38,38,3420,38,0,1,1,0,0,0,2,0,0,0,0,0.0,3.0,0.0,Manchester City,2018,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,24,38,38,3420,38,0,1,1,0,0,0,2,0,0,0,0,0.0,3.0,0.0,Manchester City,2018,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,24,38,38,3420,38,0,1,1,0,0,0,2,0,0,0,0,0.0,3.0,0.0,Manchester City,2018,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,24,38,38,3420,38,0,1,1,0,0,0,2,0,0,0,0,0.0,3.0,0.0,Manchester City,2018,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,23,36,36,3194,35,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,Manchester City,2017,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,23,36,36,3194,35,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,Manchester City,2017,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,23,36,36,3194,35,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,Manchester City,2017,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,23,36,36,3194,35,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,Manchester City,2017,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,23,36,36,3194,35,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,Manchester City,2017,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Ederson,BRA,GK,23,36,36,3194,35,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,Manchester City,2017,https://fbref.com/req/202302030/images/headshots/3bb7b8b4_2022.jpg
Rodri,ESP,MF,26,36,34,2911,32,2,6,8,2,0,0,5,0,4,4,4,76.0,260.0,37.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,26,36,34,2911,32,2,6,8,2,0,0,5,0,4,4,4,76.0,260.0,37.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,26,36,34,2911,32,2,6,8,2,0,0,5,0,4,4,4,76.0,260.0,37.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,26,36,34,2911,32,2,6,8,2,0,0,5,0,4,4,4,76.0,260.0,37.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,25,33,33,2884,32,7,2,9,7,0,0,5,0,2,2,1,43.0,285.0,47.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,25,33,33,2884,32,7,2,9,7,0,0,5,0,2,2,1,43.0,285.0,47.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,25,33,33,2884,32,7,2,9,7,0,0,5,0,2,2,1,43.0,285.0,47.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,25,33,33,2884,32,7,2,9,7,0,0,5,0,2,2,1,43.0,285.0,47.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,24,34,31,2748,30,2,2,4,1,1,1,6,0,2,1,1,42.0,227.0,31.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,24,34,31,2748,30,2,2,4,1,1,1,6,0,2,1,1,42.0,227.0,31.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,24,34,31,2748,30,2,2,4,1,1,1,6,0,2,1,1,42.0,227.0,31.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,24,34,31,2748,30,2,2,4,1,1,1,6,0,2,1,1,42.0,227.0,31.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,23,35,29,2486,27,3,2,5,3,0,0,8,0,0,0,2,41.0,232.0,21.0,Manchester City,2019,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,23,35,29,2486,27,3,2,5,3,0,0,8,0,0,0,2,41.0,232.0,21.0,Manchester City,2019,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,23,35,29,2486,27,3,2,5,3,0,0,8,0,0,0,2,41.0,232.0,21.0,Manchester City,2019,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Rodri,ESP,MF,23,35,29,2486,27,3,2,5,3,0,0,8,0,0,0,2,41.0,232.0,21.0,Manchester City,2019,https://fbref.com/req/202302030/images/headshots/6434f10d_2022.jpg
Erling Haaland,NOR,FW,22,35,33,2769,30,36,8,44,29,7,7,5,0,28,23,5,35.0,58.0,151.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/1f44ac21_2022.jpg
Kevin De Bruyne,BEL,MF,31,32,28,2417,26,7,16,23,7,0,0,1,0,5,5,13,100.0,246.0,245.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,31,32,28,2417,26,7,16,23,7,0,0,1,0,5,5,13,100.0,246.0,245.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,31,32,28,2417,26,7,16,23,7,0,0,1,0,5,5,13,100.0,246.0,245.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,31,32,28,2417,26,7,16,23,7,0,0,1,0,5,5,13,100.0,246.0,245.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,31,32,28,2417,26,7,16,23,7,0,0,1,0,5,5,13,100.0,246.0,245.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,31,32,28,2417,26,7,16,23,7,0,0,1,0,5,5,13,100.0,246.0,245.0,Manchester City,2022,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,30,30,25,2201,24,15,8,23,15,0,0,2,0,5,5,10,84.0,204.0,175.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,30,30,25,2201,24,15,8,23,15,0,0,2,0,5,5,10,84.0,204.0,175.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,30,30,25,2201,24,15,8,23,15,0,0,2,0,5,5,10,84.0,204.0,175.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,30,30,25,2201,24,15,8,23,15,0,0,2,0,5,5,10,84.0,204.0,175.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,30,30,25,2201,24,15,8,23,15,0,0,2,0,5,5,10,84.0,204.0,175.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,30,30,25,2201,24,15,8,23,15,0,0,2,0,5,5,10,84.0,204.0,175.0,Manchester City,2021,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,29,25,23,1997,22,6,12,18,4,2,3,1,0,9,6,8,102.0,213.0,186.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,29,25,23,1997,22,6,12,18,4,2,3,1,0,9,6,8,102.0,213.0,186.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,29,25,23,1997,22,6,12,18,4,2,3,1,0,9,6,8,102.0,213.0,186.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,29,25,23,1997,22,6,12,18,4,2,3,1,0,9,6,8,102.0,213.0,186.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,29,25,23,1997,22,6,12,18,4,2,3,1,0,9,6,8,102.0,213.0,186.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
Kevin De Bruyne,BEL,MF,29,25,23,1997,22,6,12,18,4,2,3,1,0,9,6,8,102.0,213.0,186.0,Manchester City,2020,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
